Id_object;Anim;Real_X;Real_Y;Width;Height
---------;----;------;------;-----;------
1;0;-25;-39;81;57
2;0;-55;-38;81;56
3;0;-34;-20;65;39
4;0;-32;-20;65;39
5;0;-65;-107;128;119
6;0;-77;-126;161;132
7;0;-77;-128;161;137
8;0;-97;-144;177;158
9;0;-74;-145;177;157
10;0;-74;-129;161;137
11;0;-52;-147;105;163
12;0;-42;-114;108;127
13;0;-34;-170;102;184
14;0;-50;-132;125;158
15;0;-31;-73;70;86
16;0;-45;-188;104;204
17;0;-17;-62;35;74
18;0;-19;-70;36;82
19;0;-22;-89;45;101
20;0;-22;-32;48;42
21;0;-24;-26;58;41
22;0;-27;-24;56;45
23;0;-15;-19;35;37
24;0;-14;-12;32;27
25;0;-26;-17;59;35
26;0;-25;-16;51;32
27;0;-26;-15;51;30
28;0;-17;-11;33;21
29;0;-17;-11;33;21
30;0;-17;-11;33;21
31;0;-16;-17;34;29
32;0;-18;-17;34;30
33;0;-17;-15;33;28
34;0;-17;-11;33;26
35;0;-17;-12;33;28
36;0;-16;-7;33;24
37;0;-28;-100;95;114
38;0;-45;-73;107;98
39;0;-46;-104;108;116
40;0;-50;-141;121;155
41;0;-28;-196;101;212
42;0;-36;-238;129;254
43;0;-34;-238;122;254
44;0;-25;-142;78;156
45;0;-34;-124;85;138
46;0;-39;-111;135;123
47;0;-50;-129;114;143
48;0;-59;-132;152;146
49;0;-76;-151;174;165
50;0;-46;-113;101;125
51;0;-66;-124;155;138
52;0;-38;-105;89;117
53;0;-74;-152;165;166
54;0;-43;-78;96;93
55;0;-40;-80;103;93
56;0;-79;-125;175;139
57;0;-123;-172;251;192
58;0;-73;-161;168;179
59;0;-58;-120;119;134
60;0;-78;-126;161;163
61;0;-59;-123;158;137
62;0;-27;-75;65;89
63;0;-17;-11;33;22
64;0;-17;-18;33;28
65;0;-18;-13;34;24
66;0;-17;-23;33;33
67;0;-17;-25;33;35
68;0;-17;-28;33;38
69;0;-39;-148;111;162
70;0;-92;-117;207;131
71;0;-90;-129;199;143
72;0;-87;-156;193;170
